ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
Serotonin,,Serotonin,Serotonin,112.2,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
5-HTP,,5-HTP,5-HTP,122.4,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Tryptophan,,Tryptophan,Tryptophan,205.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Tryptamine,,Tryptamine,Tryptamine,228,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Acetylserotonin,,Acetylserotonin,Acetylserotonin,304.2,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Riboflavin,,Riboflavin,Riboflavin,316.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
5-hydroxyindole,,5-hydroxyindole,5-hydroxyindole,339,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Antranilicacid,,Antranilicacid,Antranilicacid,378.6,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Melatonin,,Melatonin,Melatonin,417.6,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Acetyltryptamine,,Acetyltryptamine,Acetyltryptamine,438,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Indole,,Indole,Indole,541.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Serotonin,,Serotonin,Serotonin2,112.2,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
5-HTP,,5-HTP,5-HTP2,122.4,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Tryptophan,,Tryptophan,Tryptophan2,205.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Tryptamine,,Tryptamine,Tryptamine2,228,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Acetylserotonin,,Acetylserotonin,Acetylserotonin2,304.2,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Riboflavin,,Riboflavin,Riboflavin2,316.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
5-hydroxyindole,,5-hydroxyindole,5-hydroxyindole2,339,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Antranilicacid,,Antranilicacid,Antranilicacid2,378.6,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Melatonin,,Melatonin,Melatonin2,417.6,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Acetyltryptamine,,Acetyltryptamine,Acetyltryptamine2,438,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
Indole,,Indole,Indole2,541.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE
