ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition,PrecursorMz_
Serotonin,,Serotonin,Serotonin,1.87,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
5-HTP,,5-HTP,5-HTP,2.04,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Tryptophan,,Tryptophan,Tryptophan,3.43,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Tryptamine,,Tryptamine,Tryptamine,3.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Acetylserotonin,,Acetylserotonin,Acetylserotonin,5.07,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Riboflavin,,Riboflavin,Riboflavin,5.28,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
5-hydroxyindole,,5-hydroxyindole,5-hydroxyindole,5.65,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Antranilicacid,,Antranilicacid,Antranilicacid,6.31,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Melatonin,,Melatonin,Melatonin,6.96,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Acetyltryptamine,,Acetyltryptamine,Acetyltryptamine,7.3,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Indole,,Indole,Indole,9.03,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE,280
Serotonin,,Serotonin,Serotonin2,1.87,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
5-HTP,,5-HTP,5-HTP2,2.04,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Tryptophan,,Tryptophan,Tryptophan2,3.43,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Tryptamine,,Tryptamine,Tryptamine2,3.8,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Acetylserotonin,,Acetylserotonin,Acetylserotonin2,5.07,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Riboflavin,,Riboflavin,Riboflavin2,5.28,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
5-hydroxyindole,,5-hydroxyindole,5-hydroxyindole2,5.65,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Antranilicacid,,Antranilicacid,Antranilicacid2,6.31,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Melatonin,,Melatonin,Melatonin2,6.96,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Acetyltryptamine,,Acetyltryptamine,Acetyltryptamine2,7.3,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
Indole,,Indole,Indole2,9.03,,0,Unit,0,Unit,,,,,1,0,,Light,1,1,,2,TRUE,FALSE,TRUE,280
