transition_group_id,run_id,filename,RT,id,Sequence,FullPeptideName,Charge,Intensity,ProteinName,decoy,total_xic,PeptideRef,leftWidth,rightWidth,peak_apices_sum,var_xcorr_coelution,var_xcorr_coelution_weighted,var_xcorr_shape,var_xcorr_shape_weighted,delta_rt,assay_rt,norm_RT,rt_score,var_norm_rt_score,var_intensity_score,nr_peaks,sn_ratio,var_log_sn_score,var_elution_model_fit_score,main_var_xx_lda_prelim_score,xx_lda_prelim_score,QC_transition_group_score,QC_transition_group_pass,QC_transition_group_message,MZ,peak_apex_position,area_background_level,noise_background_level,native_id,peak_apex_int,total_xic,width_at_5,width_at_10,width_at_50,start_position_at_5,start_position_at_10,start_position_at_50,end_position_at_5,end_position_at_10,end_position_at_50,total_width,tailing_factor,asymmetry_factor,slope_of_baseline,baseline_delta_2_height,points_across_baseline,points_across_half_height,logSN,FeatureLevel,QC_transition_score,QC_transition_pass,QC_transition_message,calculated_concentration,concentration_units,PrecursorMZ,peak_area
b'2-aminobutyrate',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,16.871990449630736,12087190789129271038,b'',NA,1,0.0,b'2-aminobutyrate',0,255537.0,2-aminobutyrate,16.81760025024414,16.945600509643555,0.0,0.0,0.0,1.0,1.0,0.26799044963073726,16.604,16.871990449630736,0.26799044963073726,0.0026799044963073727,4.9673140410755345e-06,2.0,1.0497172716690333,0.048520862833971085,0.7952892780303955,4.236078529295797,4.236078529295797,1.0,1,,0.0,16.870933,13.610627999999835,116.0,2-aminobutyrate,20.0,255537.0,0.11733299999999858,0.11733299999999858,0.11733299999999858,16.828267,16.828267,16.828267,16.9456,16.9456,16.9456,0.11733299999999858,1.3750175783996286,1.7500351567992571,-1.9999999999999858,-0.09999999999999928,12,12,0.048520862833971085,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[points_across_baseline],5.367219226409183,ug/mL,0.0,1.2693325281143188
b'2-aminobutyrate',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,16.871990449630736,12087190789129271038,b'',NA,1,0.0,b'2-aminobutyrate',0,255537.0,2-aminobutyrate,16.81760025024414,16.945600509643555,0.0,0.0,0.0,1.0,1.0,0.26799044963073726,16.604,16.871990449630736,0.26799044963073726,0.0026799044963073727,4.9673140410755345e-06,2.0,1.0497172716690333,0.048520862833971085,0.7952892780303955,4.236078529295797,4.236078529295797,1.0,1,,0.0,16.870933,13.610627999999835,116.0,2-aminobutyrate2,20.0,255537.0,0.11733299999999858,0.11733299999999858,0.11733299999999858,16.828267,16.828267,16.828267,16.9456,16.9456,16.9456,0.11733299999999858,1.3750175783996286,1.7500351567992571,-1.9999999999999858,-0.09999999999999928,12,12,0.048520862833971085,MS2,0.8333333333333334,0,metaValue[logSN];metaValue[points_across_baseline],,,0.0,1.2693325281143188
b'Alanine',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,14.397871618148802,14140441974144530392,b'',NA,1,0.0,b'Alanine',0,255537.0,Alanine,14.34293270111084,14.449600219726562,0.0,0.0,0.0,1.0,1.0,0.43887161814880216,13.959,14.397871618148802,0.43887161814880216,0.004388716181488022,3.610706056160372e-06,2.0,1.216951640930031,0.1963490769217421,0.7944662570953369,4.333473047248974,4.333473047248974,1.0,1,,0.0,14.396267,3.0933429999999955,29.0,Alanine,14.0,255537.0,0.10666699999999985,0.10666699999999985,0.10666699999999985,14.342933,14.342933,14.342933,14.4496,14.4496,14.4496,0.10666699999999985,0.999990625117193,0.9999812502343861,-7.0,-0.5,11,11,0.1963490769217421,MS2,0.75,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline],4.641861743176883,ug/mL,0.0,0.922668993473053
b'Alanine',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,14.397871618148802,14140441974144530392,b'',NA,1,0.0,b'Alanine',0,255537.0,Alanine,14.34293270111084,14.449600219726562,0.0,0.0,0.0,1.0,1.0,0.43887161814880216,13.959,14.397871618148802,0.43887161814880216,0.004388716181488022,3.610706056160372e-06,2.0,1.216951640930031,0.1963490769217421,0.7944662570953369,4.333473047248974,4.333473047248974,1.0,1,,0.0,14.396267,3.0933429999999955,29.0,Alanine2,14.0,255537.0,0.10666699999999985,0.10666699999999985,0.10666699999999985,14.342933,14.342933,14.342933,14.4496,14.4496,14.4496,0.10666699999999985,0.999990625117193,0.9999812502343861,-7.0,-0.5,11,11,0.1963490769217421,MS2,0.75,0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline],,,0.0,0.922668993473053
b'Aspartate',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,3.640343058700562,7903450419088145957,b'',NA,1,0.0,b'Aspartate',0,255537.0,Aspartate,3.6229329109191895,3.654932975769043,0.0,0.0,0.0,1.0,1.0,0.48634305870056194,3.154,3.640343058700562,0.48634305870056194,0.00486343058700562,2.41903390151688e-05,2.0,41.772572604947115,3.7322399663885975,-0.09762337058782578,8.592038256043963,8.592038256043963,1.0,1,,0.0,3.644267,1.3440419999999977,63.0,Aspartate,429.00000000000006,255537.0,0.021333999999999964,0.021333999999999964,0.021333999999999964,3.622933,3.622933,3.622933,3.644267,3.644267,3.644267,0.021333999999999964,0.5,0.0,429.00000000000006,1.0,3,2,3.7322399663885975,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],0.025748448709249146,ug/mL,0.0,6.1815266609191895
b'Aspartate',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,3.640343058700562,7903450419088145957,b'',NA,1,0.0,b'Aspartate',0,255537.0,Aspartate,3.6229329109191895,3.654932975769043,0.0,0.0,0.0,1.0,1.0,0.48634305870056194,3.154,3.640343058700562,0.48634305870056194,0.00486343058700562,2.41903390151688e-05,2.0,41.772572604947115,3.7322399663885975,-0.09762337058782578,8.592038256043963,8.592038256043963,1.0,1,,0.0,3.644267,1.3440419999999977,63.0,Aspartate2,429.00000000000006,255537.0,0.021333999999999964,0.021333999999999964,0.021333999999999964,3.622933,3.622933,3.622933,3.644267,3.644267,3.644267,0.021333999999999964,0.5,0.0,429.00000000000006,1.0,3,2,3.7322399663885975,MS2,0.5833333333333333,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],,,0.0,6.1815266609191895
b'Cysteine',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,5.585953852203369,6173688178875737536,b'',NA,1,0.0,b'Cysteine',0,255537.0,Cysteine,5.478932857513428,5.72426700592041,0.0,0.0,0.0,1.0,1.0,-0.8530461477966309,6.439,5.585953852203369,0.8530461477966309,0.008530461477966308,3.3372861196632987e-05,2.0,7.38661344843577,1.9996693685508733,0.8311881422996521,5.551289228044805,5.551289228044805,1.0,1,,0.0,5.5856,0.2453340000000006,1.0,Cysteine,86.0,255537.0,0.2240000000000002,0.19200000000000017,0.1066659999999997,5.478933,5.500267,5.532267,5.702933,5.692267,5.638933,0.2453340000000006,1.0499967187602477,1.250008789096826,-3.0,-0.03488372093023256,24,9,1.9996693685508733,MS2,1.0,1,,4.266016305756689,ug/mL,0.0,8.528000831604004
b'Cysteine',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,5.585953852203369,6173688178875737536,b'',NA,1,0.0,b'Cysteine',0,255537.0,Cysteine,5.478932857513428,5.72426700592041,0.0,0.0,0.0,1.0,1.0,-0.8530461477966309,6.439,5.585953852203369,0.8530461477966309,0.008530461477966308,3.3372861196632987e-05,2.0,7.38661344843577,1.9996693685508733,0.8311881422996521,5.551289228044805,5.551289228044805,1.0,1,,0.0,5.5856,0.2453340000000006,1.0,Cysteine2,86.0,255537.0,0.2240000000000002,0.19200000000000017,0.1066659999999997,5.478933,5.500267,5.532267,5.702933,5.692267,5.638933,0.2453340000000006,1.0499967187602477,1.250008789096826,-3.0,-0.03488372093023256,24,9,1.9996693685508733,MS2,1.0,1,,,,0.0,8.528000831604004
b'GhostPeak',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,17.842726011749264,2695202395451084051,b'',NA,1,0.0,b'GhostPeak',0,255537.0,GhostPeak,17.809600830078125,17.852266311645508,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.5002739882507363,18.343,17.842726011749264,0.5002739882507363,0.005002739882507363,2.295831929745542e-07,2.0,0.95391694973038,0.0,-0.00241617439314723,5.687497587589468,5.687497587589468,1.0,1,,0.0,17.8416,3.967937999999719,185.99999999999997,GhostPeak,5.000000000000028,255537.0,0.021332999999998492,0.021332999999998492,0.021332999999998492,17.820267,17.820267,17.820267,17.8416,17.8416,17.8416,0.021332999999998492,0.5,0.0,5.000000000000028,1.0,3,3,0.0,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],0.3420271717260034,ug/mL,0.0,0.05866700038313866
b'GhostPeak',AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_1,17.842726011749264,2695202395451084051,b'',NA,1,0.0,b'GhostPeak',0,255537.0,GhostPeak,17.809600830078125,17.852266311645508,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,-0.5002739882507363,18.343,17.842726011749264,0.5002739882507363,0.005002739882507363,2.295831929745542e-07,2.0,0.95391694973038,0.0,-0.00241617439314723,5.687497587589468,5.687497587589468,1.0,1,,0.0,17.8416,3.967937999999719,185.99999999999997,GhostPeak2,5.000000000000028,255537.0,0.021332999999998492,0.021332999999998492,0.021332999999998492,17.820267,17.820267,17.820267,17.8416,17.8416,17.8416,0.021332999999998492,0.5,0.0,5.000000000000028,1.0,3,3,0.0,MS2,0.5,0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],,,0.0,0.05866700038313866
