component_group_name,component_name,meta_value,AAmix_0p1ug_mL_1_Emission_1,AAmix_0p1ug_mL_2_Emission_1,AAmix_0p25ug_mL_1_Emission_1,AAmix_0p25ug_mL_2_Emission_1,AAmix_0p5ug_mL_1_Emission_1,AAmix_0p5ug_mL_2_Emission_1,AAmix_10ug_mL_1_Emission_1,AAmix_10ug_mL_2_Emission_1,AAmix_1ug_mL_1_Emission_1,AAmix_1ug_mL_2_Emission_1,AAmix_25ug_mL_1_Emission_1,AAmix_25ug_mL_2_Emission_1,AAmix_2p5ug_mL_1_Emission_1,AAmix_2p5ug_mL_2_Emission_1,AAmix_50ug_mL_1_Emission_1,AAmix_50ug_mL_2_Emission_1,AAmix_5ug_mL_1_Emission_1,AAmix_5ug_mL_2_Emission_1,AAmix_75ug_mL_1_Emission_1,AAmix_75ug_mL_2_Emission_1
2-aminobutyrate,2-aminobutyrate,calculated_concentration,0.105348235772,2.14419287132,0.491172621011,1.93851212236,0.059565823247,0.295200743078,28.2412744234,1.28867632255,1.08307230656,0.105348235772,29.2999318558,1.18682223048,16.3203628736,1.84559638839,41.8527190803,56.3675982133,5.36721214241,9.39324324195,11.7182881297,23.3222653234
Alanine,Alanine,calculated_concentration,185.069876443,28.1018644379,310.96030046,nan,nan,nan,0.325460340324,1.50940374151,nan,nan,0.676034743923,9.36443978371,2.66229365131,nan,50.6758568784,47.8169907019,4.64186070544,2.39440302114,76.7748923119,76.4578233918
Arginine,Arginine,calculated_concentration,91.5078725972,94.0595978046,111.350874869,111.821193848,130.618129581,132.244632321,17.9505573351,31.3140566354,nan,nan,26.2248725129,25.2594783927,nan,nan,70.7849613336,42.7104212803,nan,50.3702504457,78.6859633797,78.9593679221
Asparagine,Asparagine,calculated_concentration,16.3467006683,17.754699707,36.0107002258,36.5227012634,72.6399993896,74.0906982422,1.05066001415,nan,nan,nan,3.24799990654,nan,nan,nan,6.82667016983,6.57600021362,nan,nan,10.6187000275,10.3839998245
Aspartate,Aspartate,calculated_concentration,0.103253653392,0.105570260244,0.227709671651,2.69696193656e-05,0.481246000614,0.470211918725,nan,0.116430378201,1.08557834094,1.02501349829,nan,nan,nan,0.0992837567298,nan,nan,0.0257485478843,nan,0.039811813404,nan
Cysteine,Cysteine,calculated_concentration,0.12295402541,0.078187944078,3.14987530014,27.655743248,8312.08692643,3595.3582624,5.6081613118e-05,0.00163400541313,774993.623066,242136.624741,0.0492729554931,0.0921431450498,4.0428081728,3.12283084758,1.14829563597,0.140405999717,4.26600939563,4.88008294488,0.297467025423,499.003642503
GhostPeak,GhostPeak,calculated_concentration,251.338184416,242.303625962,61.1333396676,55.3758091057,61.3379334651,54.6150227329,538.618389578,58.4782594936,1.16604290522,0.980901873533,37.6198798145,485.276029774,2.04457746216,432.817362328,64.6193494112,76.4662337247,0.342026897426,0.0252475105449,69.5145405455,66.9345946816
Glutamate,Glutamate,calculated_concentration,14.2559995651,14.3732995987,29.9946994781,29.263999939,58.2293014526,58.5812988281,7.79732990265,nan,8.74666976929,2.41073989868,2.6400001049,8.38932991028,8.45866966248,8.1333398819,5.34399986267,5.1626701355,8.52799987793,8.70400047302,8.46932983398,8.52799987793
Glutamine,Glutamine,calculated_concentration,241.493662069,193.398013916,958.422913044,1021.94897734,3317.42986926,3356.12182678,14.1886626337,10.2298181397,2351.59931559,2146.86581309,31.0973651453,20.3925173649,11.669834108,nan,41.8473872363,39.2654594636,5.20421685401,nan,89.0952872859,88.9121395732
Glycine,Glycine,calculated_concentration,1344.91223819,1587.59307663,3635.54186227,719.743442248,2895.04949701,3134.6315315,3.1243462706,0.0146394909278,1.01012356483,24.0141386618,10.5185240211,4.84234359279,2.46733146445,nan,50.7326850587,49.4299497884,0.930183315399,0.536585707373,7.30725368092,4.49062354164
Histidine,Histidine,calculated_concentration,31.6328515652,45.732732606,124.053982366,130.182765153,336.698947717,368.055644007,11.906871626,8.89761481555,1128.00537397,1040.11720991,23.9487211618,16.446973071,10.0048451993,nan,31.1971201945,26.5564322356,4.87399462364,nan,75.8110708063,28.6729761368
Isoleucine,Isoleucine,calculated_concentration,22.0907001495,0.133333995938,48.1813011169,48.0159988403,0.245328992605,93.2266998291,0.0906670019031,0.181332007051,0.0373339988291,134.095993042,0.143999993801,0.0853319987655,1.61065995693,1.36000001431,0.575995028019,2.15467000008,0.0373345017433,3.40265989304,12.277299881,0.0373330004513
Leucine,Leucine,calculated_concentration,102.55887687,201.867909299,160.125810149,158.900657328,10.6618878686,6.65496700968,10.1003333136,3.30558392079,13.4369739645,1.16677253706,7.48808043254,1.98733253216,4.70161464821,6.36017121117,55.4150355918,55.4150355918,21.214326202,3.76334543014,71.5655847406,72.1401590124
Lysine,Lysine,calculated_concentration,1304.58911633,7.66332823252,1426.45432871,1367.86930085,1.88203471937,418.547042104,7.85032799154,4.55831289403,1.20147314573,33.748597716,69.7018901916,0.510921093059,17.7452780115,35.0124029086,85.1078302776,3.13148516784,3.79891895152,5.8802859135,78.830233002,84.6660665404
Methionine,Methionine,calculated_concentration,14.8479995728,4.87467002869,38.608001709,35.8932991028,0.576002001762,78.9120025635,7.13067007065,0.00533299986273,0.00533349998295,6.57067012787,0.0213339999318,nan,0.0640010014176,6.54400014877,0.058667499572,0.0533315017819,0.501340985298,6.57600021362,10.8852996826,10.5172996521
Phenylalanine,Phenylalanine,calculated_concentration,14.9492998123,0.0799989998341,32.8106994629,33.5093002319,0.143999993801,69.6586990356,0.13866700232,0.122666999698,0.117333002388,0.218666002154,0.05866599828,nan,0.0800015032291,0.0853329971433,nan,nan,0.0106664998457,0.048000998795,12.277299881,nan
Serine,Serine,calculated_concentration,218.591863627,235.376512317,296.350998634,315.852799568,323.720839576,329.103231337,9.46274851021,nan,nan,nan,28.6277460266,nan,nan,nan,45.0582091383,50.5705652085,nan,nan,76.2669131823,74.677571636
Threonine,Threonine,calculated_concentration,1194.36847381,264.028014037,710.033491595,762.300453928,2071.49053317,2193.22875379,15.3234708525,0.325404063423,nan,nan,0.00187234181567,20.9910661318,nan,nan,48.3419274433,41.3670935139,6.41843610858,4.32336598798,95.2862144544,79.1858873994
Tryptophan,Tryptophan,calculated_concentration,130.699005127,0.0106664998457,142.651000977,140.095993042,8.85865974426,161.727996826,122.315002441,0.00533349998295,125.803001404,0.0639994964004,109.78099823,8.53330993652,55.0452003479,0.0800015032291,8.75736045837,nan,0.175999000669,125.760002136,nan,nan
Tyrosine,Tyrosine,calculated_concentration,107.00050779,1.74503526555,178.421001024,177.923274943,284.485640864,287.022705491,21.8834528541,2.68240077379,77.3968234987,87.8695409133,115.683784777,54.8672793321,87.9621693216,2.53733549884,50.4176202895,57.9450888533,69.6464110138,4.79461779006,70.8053019055,69.8515271192
Valine,Valine,calculated_concentration,156.58691799,0.924338129826,333.676280589,327.173338096,40.0723139101,514.16284195,17.4361886945,17.746688159,0.870483778336,1.16847071732,24.9849960373,nan,43.6975938283,0.04440778287,42.1420832118,49.5863645433,2.53293352749,37.8144273593,81.8839576736,80.847696287
