IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,actual_concentration,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max
Serotonin,Serotonin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
5-HTP,5-HTP,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Tryptophan,Tryptophan,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Tryptamine,Tryptamine,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Acetylserotonin,Acetylserotonin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Riboflavin,Riboflavin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
5-hydroxyindole,5-hydroxyindole,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Antranilicacid,Antranilicacid,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Melatonin,Melatonin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Acetyltryptamine,Acetyltryptamine,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Indole,Indole,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Serotonin2,Serotonin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
5-HTP2,5-HTP,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Tryptophan2,Tryptophan,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Tryptamine2,Tryptamine,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Acetylserotonin2,Acetylserotonin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Riboflavin2,Riboflavin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
5-hydroxyindole2,5-hydroxyindole,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Antranilicacid2,Antranilicacid,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Melatonin2,Melatonin,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Acetyltryptamine2,Acetyltryptamine,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
Indole2,Indole,peak_apex_int,ug/mL,,,,,,,,linear,,,,,1.00E-15,1.00E+15,1.00E-15,1.00E+15
