sample_name,sample_type,component_group_name,component_name,QC_transition_group_message,QC_transition_group_score,QC_transition_message,QC_transition_pass,QC_transition_score,asymmetry_factor,baseline_delta_2_height,calculated_concentration,logSN,peak_apex_int,points_across_baseline,points_across_half_height,tailing_factor,total_width,width_at_50
Blank_IS_1_Emission_1,Unknown,Alanine,Alanine,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.124991211006171,0.923076923076923,3.06391055804723,,13.0,10,10,0.562495605503085,0.0960000000000001,0.0960000000000001
Blank_IS_1_Emission_1,Unknown,Alanine,Alanine2,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.124991211006171,0.923076923076923,,,13.0,10,10,0.562495605503085,0.0960000000000001,0.0960000000000001
Blank_IS_1_Emission_1,Unknown,Arginine,Arginine,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.666666666666667,1.0,0.500000000000002,26.2249157528199,0.0897999775539386,4.00000000000001,5,5,1.0,0.0426660000000005,0.0426660000000005
Blank_IS_1_Emission_1,Unknown,Arginine,Arginine2,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.666666666666667,1.0,0.500000000000002,,0.0897999775539386,4.00000000000001,5,5,1.0,0.0426660000000005,0.0426660000000005
Blank_IS_1_Emission_1,Unknown,GhostPeak,GhostPeak,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],,0.583333333333333,1.99990625293017,-0.888888888888888,1.2408068568955,0.00359278235272266,8.99999999999994,4,4,1.49995312646508,0.032,0.032
Blank_IS_1_Emission_1,Unknown,GhostPeak,GhostPeak2,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[points_across_half_height];metaValue[total_width],,0.583333333333333,1.99990625293017,-0.888888888888888,,0.00359278235272266,8.99999999999994,4,4,1.49995312646508,0.032,0.032
Blank_IS_1_Emission_1,Unknown,Glycine,Glycine,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.166671874999996,0.875,0.017755222059488,0.109081907103389,7.99999999999999,8,8,0.583335937499998,0.0746669999999998,0.0746669999999998
Blank_IS_1_Emission_1,Unknown,Glycine,Glycine2,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.166671874999996,0.875,,0.109081907103389,7.99999999999999,8,8,0.583335937499998,0.0746669999999998,0.0746669999999998
Blank_IS_1_Emission_1,Unknown,Isoleucine,Isoleucine,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN],,0.75,0.0476205357142933,0.983193277310925,15.2693328857422,0.173755117445824,119.0,23,23,0.523810267857147,0.234666999999998,0.234666999999998
Blank_IS_1_Emission_1,Unknown,Isoleucine,Isoleucine2,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN],,0.75,0.0476205357142933,0.983193277310925,,0.173755117445824,119.0,23,23,0.523810267857147,0.234666999999998,0.234666999999998
Blank_IS_1_Emission_1,Unknown,Leucine,Leucine,,1.0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.75,2.00004687573265,-0.249999999999999,8.42343754374144,,7.99999999999997,7,7,1.50002343786632,0.0640000000000001,0.0640000000000001
Blank_IS_1_Emission_1,Unknown,Leucine,Leucine2,,1.0,metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.75,2.00004687573265,-0.249999999999999,,,7.99999999999997,7,7,1.50002343786632,0.0640000000000001,0.0640000000000001
Blank_IS_1_Emission_1,Unknown,Lysine,Lysine,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline],,0.666666666666667,0.249997070301032,0.894736842105263,37.806736294369,0.193184409982107,38.0,11,11,0.624998535150516,0.106666000000001,0.106666000000001
Blank_IS_1_Emission_1,Unknown,Lysine,Lysine2,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline],,0.666666666666667,0.249997070301032,0.894736842105263,,0.193184409982107,38.0,11,11,0.624998535150516,0.106666000000001,0.106666000000001
Blank_IS_1_Emission_1,Unknown,Methionine,Methionine,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.499988281341498,0.454545454545455,0.400000005960464,0.0383514157178967,11.0,7,7,0.749994140670749,0.0640000000000001,0.0640000000000001
Blank_IS_1_Emission_1,Unknown,Methionine,Methionine2,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.499988281341498,0.454545454545455,,0.0383514157178967,11.0,7,7,0.749994140670749,0.0640000000000001,0.0640000000000001
Blank_IS_1_Emission_1,Unknown,Phenylalanine,Phenylalanine,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.666666666666667,1.0,0.333333333333333,0.448000013828278,0.00487812957338646,12.0,7,7,1.0,0.0640000000000001,0.0640000000000001
Blank_IS_1_Emission_1,Unknown,Phenylalanine,Phenylalanine2,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.666666666666667,1.0,0.333333333333333,,0.00487812957338646,12.0,7,7,1.0,0.0640000000000001,0.0640000000000001
Blank_IS_1_Emission_1,Unknown,Threonine,Threonine,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.166671874999996,0.875,0.373774580342061,0.109081907103389,7.99999999999999,8,8,0.583335937499998,0.0746669999999998,0.0746669999999998
Blank_IS_1_Emission_1,Unknown,Threonine,Threonine2,,1.0,metaValue[asymmetry_factor];metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.583333333333333,0.166671874999996,0.875,,0.109081907103389,7.99999999999999,8,8,0.583335937499998,0.0746669999999998,0.0746669999999998
Blank_IS_1_Emission_1,Unknown,Tryptophan,Tryptophan,,1.0,metaValue[baseline_delta_2_height];metaValue[logSN];metaValue[points_across_baseline];metaValue[total_width],,0.666666666666667,1.0,0.57142857142857,0.29866549372673,,7.00000000000001,7,7,1.0,0.0640000000000001,0.0640000000000001
