component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Lactate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Lactate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Lactate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Lactate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Lactate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Pyruvate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Pyruvate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Pyruvate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Pyruvate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Pyruvate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
PEP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
PEP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
PEP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
PEP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Succinate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Succinate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Succinate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Succinate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Succinate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Succinate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Fumarate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Fumarate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Fumarate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Fumarate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Fumarate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Fumarate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Malate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Malate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Malate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Malate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Malate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Malate,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Erythritol,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Erythritol,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Erythritol,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Erythritol,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
Erythritol,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
aKG,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
DHAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
DHAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
DHAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
DHAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
DHAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
GAP,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
G3P,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
G3P,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
G3P,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
G3P,0,10,0,10,0,10,2,10,0,10,2,10,,,,,0,1.00E+12,100,1.00E+15,0,1.00E+12
